BIO353H5, 1, CSB340H51
BIO354H5, 0, 
BIO356H5, 0, 
BIO360H5, 3, ECO220Y5, PSY202H5, STA221H5
BIO361H5, 1, ECO220Y5
BIO362H5, 1, None
BIO368H5, 1, NFS400H1
BIO370Y5, 0, 
BIO371H5, 1, BIO370H5
BIO372H5, 4, JBC372H5, CHM360Y5, JLM349H1, MGB311Y1
BIO373H5, 0, 
BIO374H5, 0, 
BIO375H5, 0, 
BIO376H5, 1, None
BIO378H5, 1, None
BIO380H5, 0, 
BIO399Y5, 0, 
BIO400Y5, 4, JEG400Y5Y, JEG401Y5Y, BIO481Y5, JCB487Y5
BIO403H5, 0, 
BIO404H5, 1, None
BIO405H5, 1, PSY362H5
BIO406H5, 0, 
BIO407H5, 0, 
BIO408H5, 1, None
BIO409H5, 0, 
BIO410H5, 0, 
BIO411H5, 0, 
BIO412H5, 0, 
BIO414H5, 2, KPE360H1, KPE462H1
BIO416H5, 0, 
BIO419H5, 1, MGY420H1
BIO422H5, 1, BIOD19H3
BIO434H5, 0, 
BIO443H5, 0, 
BIO445H5, 1, EEB324H1
BIO458H5, 1, None
BIO464H5, 0, 
JBC472H5, 0, 
BIO475H5, 1, CSB351Y1
BIO476H5, 0, 
BIO477H5, 1, MGY470H1
BIO481Y5, 2, BIO400Y5, JCB487Y5
BIO483H5, 1, None
BIO484H5, 1, None
JCB487Y5, 15, BIO400Y5481Y5, CBJ481Y5, CHM489Y5, ERS470Y5471H5472H5, PHY489Y5, BCH472Y1473Y1, CHM499Y1, CSB497H1498Y1499Y1, ESS491H1492Y1, MGY480Y1, PHY478H1479Y1, BIOD98Y3, CHMD90Y391H3, ESSD09H310H3, PSCD10H3
CBJ481Y5, 0, 
HSC200H5, 1, HSC302H5
HSC300H5, 0, 
HSC301H5, 1, CCT470H5
HSC302H5, 1, HMB304H1
HSC307H5, 1, None
HSC401H5, 0, 
HSC402H5, 1, None
HSC403H5, 0, 
HSC404H5, 0, 
HSC405H5, 0, 
HSC406H5, 0, 
CHM110H5, 3, CHM135H1139H1151Y1, CHM140Y5, CHMA11H3
CHM120H5, 3, CHM136H1138H1151Y1, CHM140Y5, CHMA10H3
CHM201H5, 1, Any CHM/JCP course taken previously / concurrently
CHM211H5, 2, CHM217H1, CHMB16H3
JCP221H5, 2, CHM220H1221H1225Y1, CHMB20H3B23H3
CHM231H5, 2, CHM238Y1, CHMB31H3
CHM242H5, 2, CHM138H1, CHMB41H3B43Y
CHM243H5, 2, CHM247H1249H1, CHMB42H3
JCP265H5, 1, CSC108H5
CHM299Y5, 0, 
FSC311H5, 0, 
CHM311H5, 2, CHM317Y1, CHMC16H3C11H3
JCP321H5, 3, CHM326Y1, PHY256H1356H1, PHYB56H3C56H3
JCP322H5, 3, CHM328H1, CHMC20H3, PHY452H1
CHM331H5, 2, CHM338H1, CHMC31Y3
CHM333H5, 2, CHM437H1, CHMD69H3
CHM341H5, 2, CHM348H1, CHMC41H3
CHM345H5, 2, CHM342H1, CHMC42H3
CHM347H5, 2, CHM347H1, CHMC47H3
CHM361H5, 3, BCH210H1242Y1311H1, BIOC12H3, CHMB62H3
CHM362H5, 3, BCH210H1242Y1, BIOC13H3, CHMB62H3
CHM372H5, 2, CHM371H5, BCH370H1371H1
CHM373H5, 2, CHM371H5, BCH370H1371H1
CHM394H5, 1, CHM393H5Y
CHM395H5, 0, 
CHM396H5, 3, CHM391H5, CHM317H1410Y1, CHMC16H3
CHM397H5, 0, 
CPS398H5, 0, 
CHM399Y5, 0, 
CPS400Y5, 1, none
JCP410H5, 0, 
CHM412H5, 0, 
CHM414H5, 0, 
CHM416H5, 1, CHM416H1
JCP421H5, 2, PHYC563H3, PHY456H1
JCP422H5, 0, 
CHM442H5, 0, 
CHM444H5, 0, 
CHM462H5, 0, 
JCP463H5, 0, 
CHM485H5, 0, 
CHM489Y5, 3, CHM499Y1, JCB487Y5, CHMD90Y3
CIN101H5, 9, INI115Y1, NEW115Y1, VIC115Y1, ERI201H5, ERI202H5, CIN202H5, CIN205Y5, CIN105H1, ENGB70H3
CIN102H5, 0, 
CIN203H5, 0, 
CIN204H5, 0, 
CIN205H5, 0, 
CIN206H5, 0, 
CIN207H5, 0, 
CIN208H5, 0, 
CIN215H5, 3, VCC390H5, - Topic: Bollywood, CIN302H5
CIN250H5, 0, 
CIN290H5, 0, 
CIN301H5, 0, 
CIN302H5, 0, 
CIN303H5, 0, 
CIN304H5, 0, 
CIN305H5, 0, 
CIN306H5, 0, 
CIN307H5, 0, 
CIN308H5, 0, 
CIN309H5, 2, CIN301H5, topics course "Colour".
CIN310H5, 2, CIN301H5, Topics course Melodrama.
CIN350H5, 0, 
CIN399Y5, 0, 
CIN400H5, 0, 
CIN401H5, 0, 
CIN402H5, 0, 
CIN403H5, 0, 
CIN404H5, 3, CIN401H5, topics course "Film Noir, the Problem of Style".
CIN405H5, 3, CIN401H5, topic: Difficult Emotions, Moving Images
CIN450H5, 0, 
CIN451H5, 0, 
CLA101H5, 2, CLA160H1, CLAA04H3
CLA201H5, 1, CLA201H1
CLA204H5, 2, CLA204H1, CLAB05H3
CLA230H5, 2, CLA230H1, CLAB05H3
CLA231H5, 2, CLA231H1, CLAB06H3
CLA232H5, 1, CLA206H1
CLA233H5, 2, CLA233H1, CLAB06H3
CLA234H5, 1, CLA203H1
CLA235H5, 0, 
