Specialist Program ERSPE0105, Anthropology (Science), Year 1, 2, ANT101H5, ANT102H5, Year 2, 7, ANT200H5, ANT201H5, ANT202H5, ANT203H5, ANT204H5, ANT206H5, ANT207H5, Year 3, 5, JAL253H5, JAL353H5, JAL355H5, HSC403H5, HSC404H5
Specialist Program ERSPE1775, Anthropology (Arts), Year 1, 2, ANT101H5, ANT102H5, Year 2, 7, ANT200H5, ANT201H5, ANT202H5, ANT203H5, ANT204H5, ANT206H5, ANT207H5, Year 3, 5, JAL253H5, JAL353H5, JAL355H5, HSC403H5, HSC404H5
Major Program ERMAJ0105, Anthropology (Science), Year 1, 2, ANT101H5, ANT102H5, Year 2, 7, ANT200H5, ANT201H5, ANT202H5, ANT203H5, ANT204H5, ANT206H5, ANT207H5, Year 3, 5, JAL253H5, JAL353H5, JAL355H5, HSC403H5, HSC404H5
Major Program ERMAJ1775, Anthropology (Arts), Year 1, 2, ANT101H5, ANT102H5, Year 2, 7, ANT200H5, ANT201H5, ANT202H5, ANT203H5, ANT204H5, ANT206H5, ANT207H5, Year 3, 5, JAL253H5, JAL353H5, JAL355H5, HSC403H5, HSC404H5
Minor Program ERMIN1775, Anthropology (Arts), Year 1, 2, ANT101H5, ANT102H5, Year 2, 7, ANT200H5, ANT201H5, ANT202H5, ANT203H5, ANT204H5, ANT206H5, ANT207H5, Year 3, 5, JAL253H5, JAL353H5, JAL355H5, HSC403H5, HSC404H5
Specialist Program ERSPE1025, Astronomical Sciences (Science), Year 1, 6, AST110H5, MAT102H5, MAT135H5/136H5, MAT135Y5/137Y5/157Y5, MAT223H5/240H5, PHY136H5/137H5/146H5/147H5, Year 2, 3, MAT232H5/233H5/236H5/244H5, PHY241H5/242H5, JCP221H5/245H5, Year 3, 5, JCP265H5, CSC108H5, JCP321H5/322H5, MAT311H5/334H5, PHY325H5/347H5, Year 4, 3, JCP421H5, PHY451H5, STA220H5/256H5
Major Program ERMAJ2204, Astronomy (Science), Year 1, 6, AST110H5, MAT102H5, MAT135H5/136H5, MAT135Y5/137Y5/157Y5, MAT223H5/240H5, PHY136H5/137H5/146H5/147H5, Year 2, 5, MAT244H5/232H5/233H5/236H5, PHY241H5, PHY242H5, JCP221H5, PHY245H5, Year 3, 2, JCP321H5, JCP322H5
Specialist Program ERSPE1376, Chemistry (Science), Year 1, 4, CHM110H5/120H5, MAT132H5/134H5, MAT135H5/136H5, MAT134Y5/135Y5/137Y5/157Y5, Year 2, 2, CHM211H5/231H5/242H5/243H5, JCP221H5, Year 3, 3, CHM372H5/373H5, CHM394H5/395H5, CHM396H5/397H5
Major Program ERMAJ1376, Chemistry (Science), Year 1, 4, CHM110H5/120H5, MAT132H5/134H5, MAT135H5/136H5, MAT134Y5/135Y5/137Y5/157Y5, Year 2, 2, CHM211H5/231H5/242H5/243H5, JCP221H5, Year 3, 3, CHM372H5/373H5, CHM394H5/395H5, CHM396H5/397H5
Minor Program ERMIN1376, Chemistry (Science), Year 1, 1, CHM110H5/120H5
Specialist Program ERSPE0482, Comparative Physiology (Science), Year 1, 19, BIO152H5, BIO153H5, CHM110H5, CHM120H5, MAT132H5, MAT134H5, MAT134Y5, MAT135H5, MAT136H5, MAT135Y5, MAT137Y5, CLA201H5, ENV100Y5, ERS120H5, PHY136H5, PHY137H5, PSY100Y5, WRI203H5, WRI307H5, Year 2, 7, BIO202H5, BIO203H5, BIO205H5, BIO206H5, BIO207H5, BIO210Y5, STA215H5, Year 3, 28, BIO304H5, BIO310H5, BIO312H5, BIO360H5, BIO409H5, CHM242H5, CHM243H5, BIO320H5, BIO347H5, BIO354H5, BIO361H5, BIO372H5, BIO404H5, BIO408H5, BIO410H5, BIO411H5, BIO412H5, BIO414H5, BIO419H5, BIO422H5, BIO481Y5, CHM361H5, CHM362H5, JCB487Y5, PHY332H5, PHY333H5, PSY290H5, PSY395H5
Specialist Program ERSPE1020, Ecology and Evolution (Science), Year 1, 13, BIO152H5, BIO153H5, CHM110H5, CHM120H5, MAT132H5, MAT134H5, MAT134Y5, MAT135H5, MAT136H5, MAT135Y5, MAT137Y5, MGM101H5, MGM102H5, Year 2, 9, BIO200H5, BIO202H5, BIO203H5, BIO206H5, BIO207H5, CHM211H5, CHM242H5, CHM243H5, STA215H5, Year 3, 25, BIO314H5, BIO315H5, BIO360H5, BIO370Y5, BIO372H5, BIO374H5, CHM311H5, CHM361H5, JBC472H5, BIO304H5, BIO310H5, BIO312H5, BIO341H5, BIO342H5, BIO375H5, BIO380H5, BIO409H5, CHM333H5, CHM231H5, CHM341H5, CHM345H5, CHM347H5, CHM362H5, CHM372H5, CHM373H5
Specialist Program ERSPE1118, Biotechnology (Science), Year 1, 13, BIO152H5, BIO153H5, CHM110H5, CHM120H5, MAT132H5, MAT134H5, MAT134Y5, MAT135H5, MAT136H5, MAT135Y5, MAT137Y5, MGM101H5, MGM102H5, Year 2, 9, BIO200H5, BIO202H5, BIO203H5, BIO206H5, BIO207H5, CHM211H5, CHM242H5, CHM243H5, STA215H5, Year 3, 25, BIO314H5, BIO315H5, BIO360H5, BIO370Y5, BIO372H5, BIO374H5, CHM311H5, CHM361H5, JBC472H5, BIO304H5, BIO310H5, BIO312H5, BIO341H5, BIO342H5, BIO375H5, BIO380H5, BIO409H5, CHM333H5, CHM231H5, CHM341H5, CHM345H5, CHM347H5, CHM362H5, CHM372H5, CHM373H5
Specialist Program ERSPE1237, Molecular Biology (Science), Year 1, 20, BIO152H5, BIO153H5, CHM110H5, CHM120H5, MAT132H5, MAT134H5, MAT134Y5, MAT135H5, MAT136H5, MAT135Y5, MAT137Y5, CLA201H5, ENV100Y5, ERS101H5, ERS120H5, PHY136H5, PHY137H5, PSY100Y5, WRI203H5, WRI307H5, Year 2, 6, BIO202H5, BIO203H5, BIO205H5, BIO206H5, BIO207H5, STA215H5, Year 3, 4, BIO313H5, BIO314H5, BIO409H5, BIO360H5
Specialist Program ERSPE2364, Biology (Science), Year 1, 20, BIO152H5, BIO153H5, CHM110H5, CHM120H5, MAT132H5, MAT134H5, MAT134Y5, MAT135H5, MAT136H5, MAT135Y5, MAT137Y5, CLA201H5, ENV100Y5, ERS101H5, ERS120H5, PHY136H5, PHY137H5, PSY100Y5, WRI203H5, WRI307H5, Year 2, 6, BIO202H5, BIO203H5, BIO205H5, BIO206H5, BIO207H5, STA215H5, Year 3, 4, BIO313H5, BIO314H5, BIO409H5, BIO360H5
Major Program ERMAJ1004, Paleontology (Science), Year 1, 14, BIO152H5/153H5, CHM110H5, CHM120H5, MAT132H5, MAT134H5, MAT134Y5, MAT135H5, MAT136H5, MAT135Y5, MAT137Y5, ENV100Y5, ERS101H5, ERS120H5, ERS111H5, Year 2, 5, BIO210Y5, ERS201H5, ERS202H5, ERS203H5, STA215H5, Year 3, 3, ERS325H5, BIO354H5, BIO356H5
Minor Program ERMIN2017, Minor in Business, Science and Entrepreneurship
Minor Program ERMIN0797, Cinema Studies (Arts), Year 1, 1, CIN101H5, Year 2, 31, CIN203H5, CIN204H5, CIN205H5, CIN207H5, CIN215H5, CIN301H5, CIN303H5, CIN304H5, CIN306H5, CIN307H5, CIN401H5, CIN402H5, VCC205H5, VST410H5, GER353H5, GER354H5, PHL221H5, DRE350H5/352H5, FRE393H5, FRE397H5, ITA242H5, ITA243H5, ITA246H5, ITA247H5, ITA307H5, ITA309H5, ITA313H5, ITA342H5, ITA343H5, RLG331H5, SPA275H5
Major Program ERMAJ0382, Classical Civilization (Arts), Year 1, 5, CLA101H5, CLA230H5, CLA231H5, CLA233H5, CLA237H5
Minor Program ERMIN0382, Classical Civilization (Arts), Year 1, 5, CLA101H5, CLA230H5, CLA231H5, CLA233H5, CLA237H5
